Insee (Pheno!Mois!Insee);Mois Obs;CD REF (pheno!mois!insee);Nb Donnees
80222;6;535757;1
80815;6;249385;1
80025;12;239133;1
80598;4;18820;3
80713;7;249151;3
80637;7;163103;2
80030;7;65141;1
80228;5;65155;3
80688;4;65155;3
80688;8;11145;2
80833;7;11202;1
80580;1;53741;2
80688;10;459325;1
80649;9;66121;2
80665;5;65376;1
80222;8;239133;1
80486;8;65456;1
80133;9;239111;1
80030;7;11157;1
80716;4;11165;1
80221;9;62032;1
80830;5;238090;1
80580;5;65227;5
80149;4;239133;1
80635;8;11136;2
80331;10;238310;1
80118;8;65473;1
80808;10;11168;1
80486;6;199863;1
80665;1;64144;4
80580;10;238460;1
80598;5;219833;1
80486;7;11152;1
80580;4;65415;2
80290;5;54451;1
80665;7;51667;1
80497;8;245161;1
80688;9;53595;1
80496;3;608364;3
80200;8;51637;2
80228;6;18829;3
80716;4;11202;2
80486;8;65278;1
80147;9;51716;1
80118;7;219740;1
80222;6;53668;4
80580;8;11197;2
80665;7;54856;1
80574;9;11165;1
80808;5;608364;2
80815;6;237980;1
80222;5;11571;1
80665;6;653281;2
80635;7;53595;1
80333;6;11131;1
80486;5;64120;1
80649;6;65199;1
80713;6;65697;2
80303;7;238192;1
80806;8;245161;3
80649;8;65740;1
80486;7;11165;1
80222;10;18829;1
80332;10;54468;1
80025;4;11157;1
80497;4;239133;1
80815;4;8343;1
80215;7;219799;2
80371;8;54342;1
80133;7;11157;1
80167;8;239134;1
80830;8;11173;1
80497;1;65109;1
80502;3;238385;1
80133;8;11202;1
80332;7;65265;1
80649;4;66121;2
80713;7;65636;3
80087;8;51627;1
80290;3;53754;1
80713;4;11165;4
80303;6;219740;1
80649;6;11157;1
80303;9;837869;1
80688;8;233242;1
80332;5;54342;1
80396;5;11202;1
80649;7;249156;1
80600;11;51677;1
80030;4;219833;1
80688;7;65278;9
80200;10;53754;1
80806;9;219833;1
80167;8;11131;1
80222;5;8410;2
80637;7;62189;2
80250;9;51619;2
80244;9;11168;1
80688;8;65300;1
80713;5;837869;1
80649;12;18820;1
80290;6;249202;1
80713;5;51784;1
80548;3;238381;1
80155;8;239128;1
80609;9;219831;1
80815;11;11197;1
80649;7;65878;1
80222;7;593263;5
80496;7;65877;1
80303;6;65265;1
80249;7;219799;1
80787;7;53724;1
80200;9;65184;1
80496;4;11165;1
80327;7;53759;1
80332;6;65344;2
80649;5;51923;1
80580;1;65155;2
80290;7;249151;2
80222;4;10539;1
80713;6;653286;1
80806;8;608364;2
80248;4;239134;1
80327;5;233237;2
80496;4;53759;1
80303;8;11157;1
80303;7;64169;6
80649;7;249288;1
80333;10;51677;1
80497;10;11131;1
80649;9;239133;1
80548;10;51331;1
80486;1;53724;1
80688;5;65899;3
80497;4;608364;1
80496;4;238460;2
80713;4;608364;6
80501;7;53759;1
80496;6;51508;1
80598;9;239112;1
80332;8;51508;1
80222;6;12380;2
80804;9;66114;4
80249;9;11152;1
80333;9;65192;1
80248;7;837869;4
80109;10;239133;2
80333;7;53595;6
80688;6;247136;2
80486;7;239133;1
80290;8;237815;1
80804;7;11585;1
80609;10;459325;2
80815;1;11165;1
80713;8;53741;19
80635;7;653286;1
80830;8;11136;2
80327;8;237925;1
80598;6;249151;1
80600;3;11168;1
80221;9;51619;1
80497;3;237051;2
80222;5;12208;2
80580;8;64141;2
80332;7;11173;1
80344;7;239111;1
80333;5;163387;1
80087;7;65473;1
80649;8;65219;1
80713;7;247136;1
80497;3;11165;1
80637;8;65101;1
80344;11;11152;1
80713;6;65899;4
80598;6;51923;1
80087;10;11131;2
80665;7;64035;2
80222;5;11519;1
80688;4;65109;4
80248;10;237051;1
80665;7;51508;1
80215;7;65473;1
80600;11;51658;1
80303;8;239112;1
80649;3;239117;1
80149;9;238495;1
80222;9;53623;1
80303;2;51710;1
80713;6;913804;1
80716;1;239133;1
80371;9;249151;2
80713;9;65740;1
80598;3;11168;1
80228;8;1574;1
80600;7;51716;1
80222;9;53595;3
80486;6;18829;1
80344;9;1574;1
80637;4;237938;1
80713;7;65899;3
80228;7;65278;8
80806;5;65101;13
80833;7;53754;1
80087;7;249200;2
80649;5;65155;5
80806;1;65899;1
80688;6;249288;5
80248;7;53770;1
80497;4;54052;1
