Insee (Synthese!Insee);An Obs;Cd Ref;Nb Obs
80496;2022;238090;4376
80228;2015;3302;2140
80806;2009;4187;448
80333;2016;3302;405
80806;2008;4187;394
80806;2011;4187;267
80806;2008;4195;255
80713;1979;1958;249
80806;2005;4187;237
80806;2014;4187;228
80806;2010;4187;222
80806;2007;4187;218
80713;2022;2530;212
80333;2009;100718;201
80806;2005;4195;196
80713;2022;977;190
80713;2022;2517;188
80713;2022;3187;186
80713;2022;2497;185
80713;1980;1973;184
80713;2015;3302;184
80713;2022;3070;182
80713;2022;2440;180
80806;2007;4669;179
80713;2022;3059;177
80806;2011;4195;175
80713;2022;2489;175
80806;2008;4669;174
80830;2013;4117;172
80713;2022;3116;171
80713;2022;2706;171
80830;2014;4117;170
80830;2018;4117;167
80713;1981;1973;167
80806;2008;4289;167
80713;2022;1972;165
80806;2008;4280;165
80830;2018;4525;164
80649;2015;3302;163
80713;2022;2767;163
80830;2016;4117;162
80830;2014;4525;162
80830;2016;4525;162
80830;2013;4564;160
80333;2011;100718;158
80806;2009;4195;156
80806;2014;126615;155
80830;2014;4564;155
80806;2009;4289;152
80830;2016;3978;151
80486;2015;88949;151
80713;2001;1966;149
80713;2022;965;147
80806;2007;4289;147
80149;2016;4117;146
80713;2018;4257;146
80830;2012;4117;146
80830;2016;4564;146
80688;2005;4525;145
80713;1981;2767;145
80806;2007;4195;145
80713;2022;530157;144
80830;2015;4117;144
80830;2014;3764;144
80713;2022;1958;143
80830;2015;4525;143
80830;2013;4525;141
80806;2009;4023;141
80830;2019;4117;140
80713;2022;2741;140
80713;2022;2586;140
80600;2010;94273;138
80830;2012;4525;137
80806;2006;4187;137
80713;2022;974;135
80830;2014;3978;135
80713;2002;1966;134
80713;2022;1998;134
80688;2006;4525;133
80830;2013;3429;133
80713;1980;1958;132
80830;2015;3978;132
80806;2009;4669;132
80830;2019;4525;132
80830;2018;3429;131
80830;2018;4564;130
80806;2011;4252;130
80713;2008;534742;128
80688;2019;4525;128
80830;2014;3429;128
80713;1988;2767;128
80806;2017;4187;128
80806;2011;4257;128
80830;2014;534742;127
80806;2019;4187;127
80830;2015;3429;127
80713;2016;3302;127
80713;2022;1973;127
80806;2011;4289;127
80830;2017;4525;126
80713;2022;3106;126
80713;2003;1966;126
80830;2015;4564;125
80688;2009;4525;125
80713;2019;4257;125
80713;1998;2767;123
80830;2017;4117;123
80713;1987;1958;122
80713;2022;4151;121
80713;2019;534742;121
80830;2013;3764;121
80804;2017;66103;120
80713;2021;977;120
80830;2018;3978;120
80806;2006;4195;120
80713;1998;3059;119
80806;2008;4023;119
80713;2019;4280;119
80713;2022;1952;119
80830;2019;3429;118
80806;2013;4187;118
80830;2013;534742;118
80830;2019;3424;118
80830;2012;4564;118
80713;2019;4151;117
80713;2019;2530;116
80688;2019;534742;116
80806;2010;4289;116
80713;1980;2767;116
80688;2015;534742;116
80713;2022;3112;115
80830;2017;3978;115
80713;2019;977;115
80713;2022;4280;114
80806;2011;4280;113
80806;2010;4195;113
80713;2018;2530;113
80713;2019;4001;113
80713;2021;3070;112
80688;2018;4525;112
80713;2021;2440;112
80806;2005;4669;112
80830;2016;3429;111
80713;2008;534751;111
80713;2011;4257;111
80713;2001;3059;111
80713;2022;2563;110
80713;2019;3070;110
80713;2022;1991;110
80333;2015;3302;110
80713;2017;534742;109
80713;2021;97434;109
80713;2015;2584;108
80713;2019;4117;108
80713;2022;4001;107
80830;2018;3764;107
80688;2010;4582;106
80830;2017;3429;106
80713;1978;2767;106
80806;2012;4252;105
80830;2016;534742;105
80713;1997;1958;105
80713;1978;1958;105
80149;2016;3424;104
80713;2021;2517;104
80806;2018;4187;104
80713;2014;4257;104
80713;1979;2767;104
80806;2009;4280;103
80713;2019;2767;103
80806;2005;4257;103
80713;2008;4257;103
80713;2019;3187;103
80688;2012;4525;102
80830;2019;4564;102
80830;2015;534742;101
80830;2018;3424;100
80713;2022;4564;99
80806;2014;105239;99
80830;2017;4564;99
80713;1982;1958;99
80713;2021;2706;99
80713;2021;3187;99
80713;2021;2497;99
80713;2008;3764;99
80688;2017;4525;99
80713;2019;4564;98
80713;2018;2767;98
80713;2019;2497;98
80713;2019;2440;98
80830;2019;534742;98
80688;2011;4582;98
80688;2020;92217;97
80713;2021;2767;97
80713;2018;3116;97
80713;2018;534742;97
80808;2021;4564;97
80713;2010;67422;96
80688;2017;534742;96
80830;2016;3424;96
80713;2021;2530;96
80806;2009;4252;95
80713;2019;3116;95
80713;2012;534742;95
80713;2021;3059;95
80806;2012;4257;95
80688;2011;4525;94
80713;2018;4117;94
80713;2022;836203;94
80713;2019;2706;93
80333;2008;100718;93
80713;2022;2669;93
80830;2015;3764;93
80713;2008;4308;92
80713;2019;1998;92
80688;2013;4582;92
80713;2012;70554;92
80688;2009;4582;92
80806;2008;4257;92
80713;1976;2767;92
80688;2018;4582;92
80713;2013;4195;91
80713;2019;2517;91
80713;2018;2517;91
80688;2010;4525;91
80713;2020;2706;90
80713;2020;977;90
80808;2021;3424;90
80806;2009;4257;90
80830;2018;534742;89
80713;2000;3070;89
80830;2019;4516;89
80830;2014;4001;89
80713;2019;965;89
80688;2012;4582;89
80713;1983;2767;89
80713;1982;1973;89
80806;2005;4289;88
80713;1982;2767;88
80713;2022;627745;88
80713;2017;4257;88
80713;2018;2706;88
80713;2019;2741;88
80713;2015;4308;87
80713;1997;3116;87
80830;2013;3774;87
80713;2015;2586;87
80713;2017;534751;86
80830;2016;3764;86
80228;2017;3302;86
80713;2021;3116;86
80713;2010;4257;86
80713;1987;2767;86
80713;2009;4582;85
80713;2019;3059;85
80713;2018;2497;85
80713;2022;4503;85
80713;2012;4257;85
80713;2011;534742;85
80713;2021;1972;85
80713;2020;2530;85
80713;2018;3070;85
80713;2000;3116;85
80688;2020;152247;84
80688;2012;3764;84
80713;2018;3187;84
80830;2019;3764;84
80806;2007;4257;84
80713;1999;3059;83
80688;2018;534742;83
80713;2018;2440;82
80713;2018;977;82
80688;2014;4582;82
80688;2019;3764;82
80806;2017;4195;82
80713;2021;2489;82
80713;1977;2767;82
80713;2018;4564;82
80713;2022;3424;82
80830;2014;3424;82
80713;2018;1958;81
80713;2015;67550;81
80713;2018;4280;81
80713;2019;1972;81
80713;2018;965;81
80808;2021;4503;81
80806;2007;4023;81
80713;2020;2497;81
80688;2020;4525;81
80806;2006;4669;81
80713;2000;1958;81
80713;2022;534742;81
80333;1999;2767;81
80713;2015;4257;81
80713;2015;2563;80
80830;2017;534742;80
80806;2012;4187;80
80713;2022;4117;80
80713;2020;2517;79
80649;2019;116405;79
80688;2007;4582;79
80806;2005;4280;79
80688;2007;3764;79
80688;2012;534742;79
80713;2021;965;79
80713;2019;4308;79
80713;2021;2586;78
80713;2009;4257;78
80713;2013;4117;78
80688;2015;4582;78
80688;2014;534742;78
80600;2010;108345;78
80713;2022;2584;78
80713;2022;2543;78
80713;2019;530157;77
80830;2012;3429;77
80688;2005;3764;77
80830;2019;4001;77
80713;2022;2623;77
80713;2018;4151;77
80688;2016;3302;77
80830;2017;3424;77
80713;2013;4257;76
80713;2018;4001;76
80806;2012;4195;76
80688;2006;534742;76
80830;2013;534753;76
80333;2001;1972;76
80713;2021;4151;76
80713;2015;534742;76
80713;2019;1958;76
80713;2017;4280;75
80713;2018;3059;75
80713;2020;3070;75
80713;2015;814245;75
80713;2019;2586;75
80688;2016;4582;75
80688;2008;534742;75
80830;2015;4129;74
80830;2015;4582;74
80830;2014;4129;74
80808;2021;4117;74
80713;2012;3764;74
80713;2020;2440;74
80830;2018;4582;74
80713;1998;1958;74
80599;2019;3297;73
80713;2021;1958;73
80713;2019;3764;73
80222;2019;351;73
80713;2020;2741;73
80688;2008;4582;73
80806;2010;4669;73
80713;2016;4257;73
80333;1999;3106;73
80713;2020;3116;73
80830;2014;4582;73
80713;2020;2767;72
80830;2016;4001;72
80713;2018;4308;72
80713;2021;2741;72
80713;2000;3059;72
80713;2008;67422;72
80713;2008;4280;72
80830;2018;4583;72
80806;2008;4252;72
80713;2010;534742;72
80830;2013;4583;72
80830;2019;4129;72
80713;2011;4195;72
80713;2013;4187;72
80713;2020;3187;72
80806;2008;3696;71
80713;2017;3302;71
80462;2018;3297;71
80830;2013;4001;71
80688;2006;3764;71
80830;2019;3978;71
80806;2005;4023;71
80692;2019;3297;71
80649;2018;3302;71
80806;2013;4023;70
80713;2018;2741;70
80688;2008;3764;70
80713;2018;3967;70
80713;2018;1972;70
80806;2008;3764;70
80600;2009;2543;70
80688;2017;3764;70
80713;2020;3059;70
80688;2005;534742;69
80713;2019;3106;69
80713;2011;4187;69
80713;2012;534751;69
80713;2016;4117;69
80806;2008;4192;69
80806;2011;4023;69
