Afficher Niveau;Afficher Niveau good;Classe;Famille;Gbif Id;Group1 Inpn;Group2 Inpn;Group3 Inpn;Nom Complet;Nom Valide;Nom Vern;Ordre;Phylum;Rang;Regne;Sous Famille;Tribu;URL;Url Inpn;Cd Nom;CD REF (taxonomie);Habitat
Terebellida;Animalia;Polychaeta;Terebellidae;2325106;Vers;Annélides;Blebleble;Lanice conchilega (Pallas, 1766);Lanice conchilega (Pallas, 1766);;Terebellida;Annelida;ES;Animalia;Terebellinae;Lanicini;https://taxref.mnhn.fr/taxref-web/taxa/371411;https://inpn.mnhn.fr/espece/cd_nom/371411;371411;371411;1
Coleoptera;Animalia;Insecta;Carabidae;4480502;Arthropodes;Insectes;Coléoptères;Cicindela hybrida Linnaeus, 1758;Cicindela hybrida Linnaeus, 1758;Cicindèle hybride;Coleoptera;Arthropoda;ES;Animalia;Cicindelinae;Cicindelini;https://taxref.mnhn.fr/taxref-web/taxa/8326;https://inpn.mnhn.fr/espece/cd_nom/8326;8326;8326;3
Lagomorpha;Animalia;Mammalia;Leporidae;7952072;Chordés;Mammifères;Blebleble;Lepus europaeus Pallas, 1778;Lepus europaeus Pallas, 1778;Lièvre d'Europe;Lagomorpha;Chordata;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/61678;https://inpn.mnhn.fr/espece/cd_nom/61678;61678;61678;3
Carnivora;Animalia;Mammalia;Mustelidae;5218911;Chordés;Mammifères;Blebleble;Mustela putorius Linnaeus, 1758;Mustela putorius Linnaeus, 1758;Putois d'Europe, Putois, Furet;Carnivora;Chordata;ES;Animalia;Mustelinae;;https://taxref.mnhn.fr/taxref-web/taxa/60731;https://inpn.mnhn.fr/espece/cd_nom/60731;60731;60731;3
Carnivora;Animalia;Mammalia;Canidae;5219243;Chordés;Mammifères;Blebleble;Vulpes vulpes (Linnaeus, 1758);Vulpes vulpes (Linnaeus, 1758);Renard roux, Renard, Goupil;Carnivora;Chordata;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/60585;https://inpn.mnhn.fr/espece/cd_nom/60585;60585;60585;3
Cetartiodactyla;Animalia;Mammalia;Phocoenidae;2440669;Chordés;Mammifères;Blebleble;Phocoena phocoena (Linnaeus, 1758);Phocoena phocoena (Linnaeus, 1758);Marsouin commun;Cetartiodactyla;Chordata;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/60939;https://inpn.mnhn.fr/espece/cd_nom/60939;60939;60939;1
Cetartiodactyla;Animalia;Mammalia;Cervidae;5220126;Chordés;Mammifères;Blebleble;Capreolus capreolus (Linnaeus, 1758);Capreolus capreolus (Linnaeus, 1758);Chevreuil européen, Chevreuil, Brocard (mâle), Chevrette (femelle);Cetartiodactyla;Chordata;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/61057;https://inpn.mnhn.fr/espece/cd_nom/61057;61057;61057;3
Carnivora;Animalia;Mammalia;Mustelidae;5218987;Chordés;Mammifères;Blebleble;Mustela nivalis Linnaeus, 1766;Mustela nivalis Linnaeus, 1766;Belette d'Europe, Belette;Carnivora;Chordata;ES;Animalia;Mustelinae;;https://taxref.mnhn.fr/taxref-web/taxa/60716;https://inpn.mnhn.fr/espece/cd_nom/60716;60716;60716;3
Carnivora;Animalia;Mammalia;Mustelidae;5219019;Chordés;Mammifères;Blebleble;Mustela erminea Linnaeus, 1758;Mustela erminea Linnaeus, 1758;Hermine;Carnivora;Chordata;ES;Animalia;Mustelinae;;https://taxref.mnhn.fr/taxref-web/taxa/60686;https://inpn.mnhn.fr/espece/cd_nom/60686;60686;60686;3
Cetartiodactyla;Animalia;Mammalia;Balaenopteridae;2440718;Chordés;Mammifères;Blebleble;Balaenoptera physalus (Linnaeus, 1758);Balaenoptera physalus (Linnaeus, 1758);Rorqual commun;Cetartiodactyla;Chordata;ES;Animalia;;;https://taxref.mnhn.fr/taxref-web/taxa/60861;https://inpn.mnhn.fr/espece/cd_nom/60861;60861;60861;1
