Cd Type Statut;Code Statut;Label Statut;Lb Adm Tr;Lb Type Statut;CD NOM (lists!rouges)
LRR;EN;En danger;Hauts-de-France;Liste rouge régionale;4431
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;4955
LRR;VU;Vulnérable;Hauts-de-France;Liste rouge régionale;6211
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;116829
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;717318
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;717462
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;612498
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;120700
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;128672
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;113711
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;106550
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;80334
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;101286
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;100813
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;106004
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;93620
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;100788
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;113432
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;114517
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;5268
LRR;DD;Données insuffisantes;Hauts-de-France;Liste rouge régionale;6286
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;92629
LRR;NT;Quasi menacée;Hauts-de-France;Liste rouge régionale;4452
LRR;VU;Vulnérable;Hauts-de-France;Liste rouge régionale;6424
LRR;CR*;On ne sait pas si l'espèce n'est pas éteinte ou disparue;Hauts-de-France;Liste rouge régionale;4890
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;124756
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;610841
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;123922
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;3908
LRR;VU;Vulnérable;Hauts-de-France;Liste rouge régionale;4808
LRR;VU;Vulnérable;Hauts-de-France;Liste rouge régionale;6734
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;130621
LRR;DD;Données insuffisantes;Hauts-de-France;Liste rouge régionale;435867
LRR;DD;Données insuffisantes;Hauts-de-France;Liste rouge régionale;434016
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;5045
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;116112
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;116740
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;108810
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;89239
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;89455
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;112988
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;105433
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;131230
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;105159
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;80329
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;86489
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;97543
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;96143
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;105621
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;96386
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;611700
LRR;RE;Disparue au niveau régional;Hauts-de-France;Liste rouge régionale;5124
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;6182
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;5910
LRR;CR*;On ne sait pas si l'espèce n'est pas éteinte ou disparue;Hauts-de-France;Liste rouge régionale;4819
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;6628
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;92364
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;639061
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;5067
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;5969
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;4754
LRR;RE;Disparue au niveau régional;Hauts-de-France;Liste rouge régionale;5210
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;717867
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;108987
LRR;RE;Disparue au niveau régional;Hauts-de-France;Liste rouge régionale;433999
LRR;LC;Préoccupation mineure;Hauts-de-France;Liste rouge régionale;3865
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;128504
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;810187
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;609983
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;123580
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;123687
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;125391
LRR;VU;Vulnérable;Hauts-de-France;Liste rouge régionale;5035
LRR;CR*;On ne sait pas si l'espèce n'est pas éteinte ou disparue;Hauts-de-France;Liste rouge régionale;5149
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;118158
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;82756
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;109671
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;90131
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;103797
LRR;NA;Non applicable;Hauts-de-France;Liste rouge régionale;92892
